sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
1855386,15,26,võidupunkti,gen,"Jonesi kaheksa võidupunkti aitasid Ameerika Ühendriikide naiskonna liidriks , Euroopa kaotab punktiga .",nsubj,"com,gen,sg"
1874994,86,92,proovi,gen,""" Ka laupäevasel lõppvõistlusel lähen püüdma maksimumi , neli enne võistlust toimuvat proovi aitavad lavaga kohaneda ning liigset närvipinget vältida . """,nsubj,"com,gen,sg"
1960186,128,133,ussi-,gen,"Selles ei saa süüdistada Eesti siseministeeriumi , sest kui Saksa valitsusel ei ole tahtmist sõbralikult suhelda , siis ei aita ussi- ega püssirohi .",nsubj,"com,gen,sg"
2020575,69,75,punkti,gen,"Oma klubi suurim korvikütt oli ka lätlane Kaspars Kambala , kelle 20 punkti aitasid Istanbuli Efes Pilsenil võita Berliinis sealset Albat 84 : 63.",nsubj,"com,gen,sg"
2119726,101,104,osa,gen,"Eesti pakkus Eurovisiooni lauluvõistluse korraldamisega maailma tipptasemel meelelahutust , mistõttu osa eestlaste eurotiimist aitab ilmselt järgmisel aastal Lätis lauluvõistlust korraldada .",nsubj,"com,gen,sg"
2132229,10,18,linnaosa,gen,Kristiine linnaosa aitas prügi ära vedada ja võttis maha neli suurt paplit .,nsubj,"com,gen,sg"
2268501,52,57,heli-,gen,Kaks nädalat järjepanu aitab tunnelisse paigaldatud heli- ja valgusinstallatsioon luua positiivset meeleolu maa-aluses linnaruumis .,nsubj,"com,gen,sg"
2314852,22,32,narkomaani,gen,Jüri hinnangul aitaks narkomaani vaid sundravi .,nsubj,"com,gen,sg"
2494209,13,17,sula,gen,"Talvel aitas sula tänavaid lumest puhastada , kevadel loputab vihm tänavad tolmust puhtaks ...",nsubj,"com,gen,sg"
2871823,13,18,reisi,gen,Samuti aitab reisi läbi viia Eesti saatkond Moskvas .,nsubj,"com,gen,sg"
2885017,28,33,liini,gen,"Usume , et kolm uut võimast liini aitavad meil seda saavutada . """,nsubj,"com,gen,sg"
2904003,25,37,võitlusvaimu,gen,"Samuti aitas meie meeste võitlusvaimu üleval hoida Skandinaavia vabatahtlike võitlus siin relvavendadena ühise vaenlase vastu , rääkimata hõimuaatest kantud Soome vabatahtlikest .",nsubj,"com,gen,sg"
3032280,10,13,osa,gen,Kui suure osa ülalpidamiskuludest aitavad tagasi teenida mängud ?,nsubj,"com,gen,sg"
3110047,0,10,Arengukava,gen,Arengukava aitab tema sõnul fikseerida lapse olukorra nii tervise kui ka vaimse arengu seisukohast .,nsubj,"com,gen,sg"
3130582,38,44,keeldu,,Samuti aitavad politseil poeomanikele keeldu tutvustada ka turvafirmade ekipaažid .,nsubj,"aux,imper,neg,pres,ps,ps2,sg"
3269827,43,53,Groningeni,gen,Hollandi liiga viiendas finaalmängus aitas Groningeni Capitalsi sarnaselt Bambergile terav tegutsemine .,nsubj,"gen,prop,sg"
3421093,20,30,keedusoola,gen,"Nohu vastu aitab ka keedusoola lahus , mida on lihtne kodus valmistada .",nsubj,"com,gen,sg"
3579910,40,45,Bessi,gen,"Filmis näeme , et siin maa peal ei aita Bessi keegi : ära pöörduvad nii perekond , kogukond kui ka ühiskond .",nsubj,"gen,prop,sg"
3713015,52,64,koolituskava,gen,"ükski firmajuht ei tohiks unustada , et läbimõeldud koolituskava aitab töötajaid motiveerida ning suurendab nende koostöövalmidust .",nsubj,"com,gen,sg"
4019498,156,162,püssi-,gen,"Tülide lahendamise levinumad viisid on korteriühistu esimehe väljavahetamine , tülide viimine kohtusse või leppimine probleemidega , mille vastu ei aita ei püssi- ega ussirohi .",nsubj,"com,gen,sg"
4444569,23,28,ussi-,gen,Siis ei aita pärast ei ussi- ega püssirohi .,nsubj,"com,gen,sg"
4459799,6,11,arsti,gen,"Eesti arsti aitasid mul enam-vähem normaalses seisundis püsida , võtsin pidevalt ravimeid . """,nsubj,"com,gen,sg"
4504992,0,13,Vaarikavarre-,gen,Vaarikavarre- ja teelehetee aitab kõhulahtisuse korral .,nsubj,"com,gen,sg"
4679572,0,6,Rooli-,gen,"Rooli- ja pedaalilukud ei aita , need hammustatakse suurte tangidega lihtsalt katki .",nsubj,"com,gen,sg"
4746070,0,10,Punktilisa,gen,Punktilisa sellest kohtumisest aitaks edestada võitluses teise edasipääsukoha pärast Austriat ja Itaaliat .,nsubj,"com,gen,sg"
4752707,0,9,Jahtklubi,gen,"Jahtklubi aitab tuua merele lähemale neid , kes tunnevad huvi merega seotud spordialade vastu .",nsubj,"gen,prop,sg"
5134685,99,104,katku,gen,"Tavapärase mõne hiirega võrreldes on praegu mikrobioloogia laboris tõeline hiirtekasvatus , siberi katku aitab otsida 20 väikest hiirt .",nsubj,"com,gen,sg"
5676364,108,114,punkti,gen,"Teistest koondislastest oli ainsana nädalavahetusel koduklubi ridades võistlustules Valmo Kriisa , kelle 11 punkti ja viis resultatiivset söötu aitasid Södertälje Kingsi Rootsis 88 : 84 võidule Solna üle .",nsubj,"com,gen,sg"
5991413,49,55,filmi-,gen,"2006. aasta sügisel Tallinnas tööd alustav Balti filmi- ja meediakool aitab oluliselt tõsta Eesti , Läti ja Leedu filmide taset , kirjutas Läti juhtiv ajaleht Diena .",nsubj,"com,gen,sg"
6179418,151,155,Kimi,gen,"12. oktoobril Suzuka ringrajal sõidetaval Jaapani GP-l vajab Michael Schumacher kuuenda MM-tiitli kindlustamiseks vaid ühte punkti , sest siis ei aita Kimi Räikköneni isegi etapivõit .",nsubj,"gen,prop,sg"
6360335,15,24,olemasolu,gen,""" Ajateenijate olemasolu mereväes aitaks värbamisprobleeme lahendada , sest potentsiaalsed töötajad saavad juba ajateenistuse ajal pildi mereväeteenistusest , "" lausus Ivask .",nsubj,"com,gen,sg"
6566053,41,44,edu,gen,"Loodan , et minu ja Itaalia suusakoonise edu aitab suurendada huvi ka suusatamise vastu . """,nsubj,"com,gen,sg"
6613533,13,18,ussi-,gen,Ei aita siin ussi- ega püssirohi .,nsubj,"com,gen,sg"
6666243,70,78,välisabi,gen,"Riik ja omavalitsused rahastavad hoonete ehitamist ja renoveerimist , välisabi aitab muretseda varustust .",nsubj,"com,gen,sg"
7864084,151,156,ussi-,gen,"See tähendab , et kui õiguslik vaidlus on läbinud kõik kolm kohtuastet , jääb õigus sellele , kelle kasuks kohus otsuse tegi , ja siin ei aita enam ei ussi- ega püssirohi .",nsubj,"com,gen,sg"
7881232,14,18,Türi,gen,Näiteks aitas Türi 1.,nsubj,"gen,prop,sg"
7911139,113,124,männikasvu-,gen,"Juba mõnda aega astuvad ta jalad kepi toeta , kuid Minna teab – ema hing kuivab , ja selle tõve vastu ei aita ei männikasvu- ega sookailuvannid , ei naistepuna- ega liivateeleotis .",nsubj,"com,gen,sg"
8843601,40,48,Kristina,gen,Täna Põhja-Soomes stardijoonele asuvaid Kristina ja Katrin Shmiguni aitab maailmakarikavõistlustel silma paista ka üha hinnatumaks muutuv perekonna meistritiitel .,nsubj,"gen,prop,sg"
8902704,16,22,Brauni,gen,Odaviskes aitab Brauni sel alal tiitlivõistlusel medali noppinud Beate Peters .,nsubj,"gen,prop,sg"
9072778,75,80,ussi-,gen,"“ Kui aga külm kestab ja servast aina jäätub , siis selle vastu ei aita ei ussi- ega püssirohi , ” ütles Kaal .",nsubj,"com,gen,sg"
9143908,67,71,talu,gen,"Jääb ka arusaamatuks , miks Eesti Ekspress taunib seda , et Turpsi talu aitab õiget teed leida ka neil , kes on elu hammasrataste vahele jäänud .",nsubj,"com,gen,sg"
9278116,17,25,ballaadi,gen,"Backstreet Boysi ballaadi “ As Long As You Love Me ”  aitas upitada esikohale asjaolu , et laul oli olnud populaarsuse tipul just vahetult enne aasta lõppu ning seega kuulajatel veel värskelt meeles .",nsubj,"com,gen,sg"
9397469,16,24,Einselni,gen,Kindlasti aitab Einselni selles selline vilunud poliitik nagu Savisaar .,nsubj,"gen,prop,sg"
9544775,19,31,Villeneuve'i,gen,"Neljandana sõitnud Villeneuve'i aitas vastu rajabarjääri Luca Badoer , kuid peatselt jäi sõit pooleli ka itaallasel endal .",nsubj,"gen,prop,sg"
9840543,22,33,tärpentini-,gen,"Köha puhul aitavad ka tärpentini- ja eukalüptisalvid , mida määritakse jalataldadele ja rindkerele .",nsubj,"com,gen,sg"
9973135,54,63,põhikirja,gen,"Selgitust annab vast see , et konverentsil kinnitatud põhikirja ja deklaratsiooni olevat IL-is osalevate juristide , sotsioloogide vähesuse tõttu aidanud välja töötada .",nsubj,"com,gen,sg"
10019985,129,139,Berezovski,gen,"Ajalehe Kommersant andmeil algatas uurimise Berezovski rahaasjades Aerofloti direktor ja Jeltsini väimees Valeri Okulov , kellel Berezovski omal ajal ise aitas lennufirma etteotsa saada .",nsubj,"gen,prop,sg"
10174454,11,16,ussi-,gen,"Ei aidanud ussi- ega püssirohi , samuti kohtunike “ meelekindlus ” .",nsubj,"com,gen,sg"
10499784,101,107,maisi-,gen,"Nimelt on ameerika ja rootsi teadlased kindlaks teinud , et tänu kõrgele kiudainesisaldusele aitavad maisi- , riisi- , rukki- , nisu- või kliihelbed võidelda südamehaigustega .",nsubj,"com,gen,sg"
10603741,0,9,Primakovi,gen,"Primakovi aitaks , kui erakorraline põhjus , mis ta ametlikult ( ja esialgu vähemalt ajutiselt ) presidendiks teeks , saabuks võimalikult kiiresti .",nsubj,"gen,prop,sg"
10784322,68,79,kunstisaali,gen,Endisesse partei rajoonikomitee saali seitse aastat tagasi sündinud kunstisaali aitab teist aastat finantseerida Viljandimaa Omavalitsuste Liit ( 20 000 krooni aastas ) ning maavalitsus ei võta kunstisaalilt üüri .,nsubj,"com,gen,sg"
10878046,9,17,kroonigi,gen,Paarsada kroonigi lisaks aitaks oluliselt .,nsubj,"com,gen,sg"
11147822,15,20,Rocki,gen,Uuesti aitasid Rocki « ree peale » kaks korvi Viiaskilt .,nsubj,"com,gen,sg"
11147822,40,45,korvi,gen,Uuesti aitasid Rocki « ree peale » kaks korvi Viiaskilt .,nsubj,"com,gen,sg"
11234750,7,15,turniiri,gen,“ Neli turniiri Ameerikas ja viimatine Islandil on aidanud profina ära elada .,nsubj,"com,gen,sg"
11265573,10,24,tippfotograafi,gen,"New Yorgi tippfotograafi Jeff Licata , kelle klientide hulka kuuluvad Ralph Lauren , Calvin Klein , Emanuel Ungaro , Nicole Miller ja Valentino , ning Syracuse'i ülikooli professori Lawrence Masoni , kes on teinud vabakutselisena pilte New York Timesile , Washington Postile ja ajakirjale US News and World Report , aitas Eestisse tuua Masoni käe all fotokunsti õppinud Kätlin Kool , kes kaheksandat aastat USAs elab .",nsubj,"com,gen,sg"
11512750,42,51,apelsini-,gen,"Teadlased on kindlaks teinud , et näiteks apelsini- ja bergamotiõli aitavad eriti hästi talvise masenduse puhul .",nsubj,"com,gen,sg"
11658936,51,57,põlve-,gen,"” Harrastusuisutaja liikumiskiiruse juures aitavad põlve- , käe- ja küünarnukikaitsmed aga vigastusi kindlasti vältida .",nsubj,"com,gen,sg"
11680725,75,85,vutistaari,gen,"Müller-Wohlfahrt kerkis jupiteride valgusesse kolme aasta eest , mil aitas vutistaari Jürgen Klinsmanni paari nädalaga jalule ja EM-finaalturniiril Saksamaa kuldses meeskonnas mängima .",nsubj,"com,gen,sg"
11712866,71,76,ussi-,gen,"Venemaa kõrgrõhkkond on aga praegu nii võimas , et selle vastu ei aita ussi- ega püssirohi .",nsubj,"com,gen,sg"
11727366,0,13,Vaarikavarre-,gen,Vaarikavarre- ja teelehetee aitab kõhulahtisuse korral .,nsubj,"com,gen,sg"
11980836,10,19,fitness'i,gen,"New Yorgi fitness'i-guru David Kirsch aitas Heidi Klumil pärast esiklapse sündi kiiresti vormi saada omapärase dieediga , kirjutab New York Post .",nsubj,"com,gen,sg"
12160131,0,13,Sidrunimahla-,gen,Sidrunimahla- ja glütseriinisegu aitab näolt ja kätelt tedretähne ja plekke eemaldada .,nsubj,"com,gen,sg"
12249157,94,100,punkti,gen,"Euroliiga A-grupi keskses mängus kerkis peategelaseks leedulane Ramunas Šiškauskas , kelle 24 punkti aitasid Moskva CSKA-l alistada kodus Pireuse Olympiakos 88 : 79.",nsubj,"com,gen,sg"
12269309,80,85,piima,gen,"Tasub teada , et lüpsisoojal piimal on tervendav toime : kaks klaasi lüpsisooja piima päevas aitab leevendada kroonilist bronhiaalastmat , ka maohaavandite puhul saab sellest abi .",nsubj,"com,gen,sg"
12425737,8,19,meditsiini-,gen,"Pidevad meditsiini- ja töövõimeuuringud aitasid vältida haigusperioode , millega varasematel aastatel hädas olime .",nsubj,"com,gen,sg"
12435560,35,40,ussi-,gen,"Streigi ärahoidmiseks ei aita enam ussi- ega püssirohi , sõnas Roosimaa veendunult .",nsubj,"com,gen,sg"
12636145,135,139,ravi,gen,"Seetõttu on Jakovlevi arvates igati otstarbekas , kui naine kosmeetikakabinetti külastab : “ Iluprotseduurid taastavad kena välimuse , ravi samal ajal aitab likvideerida haiguse põhjuse . ”",nsubj,"com,gen,sg"
12932610,103,108,pakti,gen,"Kooliaastatel ( North Hollywood High School ) sõlmis Linda vanema venna Matiga vastastikuse abistamise pakti Linda aitab Matit arvutamises , Mati osutab Lindale teeneid kirjanduses .",nsubj,"com,gen,sg"
13084769,40,47,koduõue,gen,"Talvel , kui see kahanema kipub , aitab koduõue rõõmsamana ja värvikirevana hoida lindude toidumaja .",nsubj,"com,gen,sg"
13127811,9,19,eukalüpti-,gen,Piasteni eukalüpti- ja piparmündikommid aitavad leevendada iiveldust ja tulevad ühtlasi kasuks ka köha ja käheda hääle korral .,nsubj,"com,gen,sg"
13136900,11,16,Vilja,gen,"« Aga küll Vilja Savisaar aitab , » lõi üks memmeke käega , « tema meid lageda taeva alla ei jäta ! »",nsubj,"com,gen,sg"
13212760,20,24,kivi,gen,"Kas siis aitab vaid kivi või kaigas ,",nsubj,"com,gen,sg"
13258318,45,50,ussi-,gen,"Sest kui on ikka tahtmine minna , ei aita ei ussi- ega püssirohi , » ütles Tomson .",nsubj,"com,gen,sg"
13275715,5,11,trenni,gen,Kaks trenni nädalas aitab saavutatud vormi hoida .,nsubj,"com,gen,sg"
13482373,15,21,Uniksi,gen,Müürsepp aitas Uniksi Venemaa liigas hõbemedalini ning sai mängijate seas korraldatud aasta korvpalluri valimisel neljanda koha .,nsubj,"gen,prop,sg"
13484476,4,16,boonuspunkti,gen,1–2 boonuspunkti päevas aitavad kaalu langetamise hõlpsamaks muuta .,nsubj,"com,gen,sg"
13598353,108,114,punkti,gen,"Teistest koondislastest oli ainsana nädalavahetusel koduklubi ridades võistlustules Valmo Kriisa , kelle 11 punkti ja viis resultatiivset söötu aitasid Södertälje Kingsi Rootsis 88 : 84 võidule Solna üle .",nsubj,"com,gen,sg"
13671033,0,3,Edu,gen,Edu aitas kullatiimi võtmekujudel Ronaldol ja Rivaldol määrdunud mainet heastada .,nsubj,"com,gen,sg"
13832596,16,24,M. Laari,gen,Siin ei aita ka M. Laari 5 kl.,nsubj,"gen,prop,sg"
13957796,35,40,Monte,,Väheste kogemustega Buttonil aitab Monte Carlo raja saladusi tundma õppida endine vormelisõitja Gerhard Berger .,nsubj,prop
14003657,10,20,Schönbergi,gen,« Ilmselt Schönbergi see uskumus aitas : ta tuli Vene– Türgi sõjast tervena tagasi .,nsubj,"gen,prop,sg"
14016184,4,9,Rocki,gen,"Nii Rocki kui ka Kalevit aitab tublisti asjaolu , et lähemate rivaalide Valmiera ja Kedainiai vastu ollakse omavaheliste mängudega plussis .",nsubj,"com,gen,sg"
14052102,0,10,Koeensüümi,gen,Koeensüümi Q10 aga aitab kahjustunud,nsubj,"gen,prop,sg"
14174064,2,15,Ultraheliravi,gen,"« Ultraheliravi natuke vist aitas , sest saan jälle kätega ujuda .",nsubj,"com,gen,sg"
14485424,45,52,seleeni,gen,"4  Lase kontrollida seleeni taset – parajalt seleeni organismis aitab vähki ennetada , liiga palju seleeni aga suurendab vähiriski .",nsubj,"com,gen,sg"
14487020,79,90,Melbourne'i,gen,"KORVPALL Martin Müürsepa 11 punkti , neist seitse teisel veerandajal , aitasid Melbourne'i Tigersi Austraalia liiga avamängus võõrsil 117 : 94 võidule Singapuri Slingersi üle .",nsubj,"gen,prop,sg"
14505940,19,24,Kohli,gen,Ja seal ei aita ei Kohli ega teiste oksendamine .,nsubj,"gen,prop,sg"
14565920,21,27,Adolfi,gen,Lisaks aitasid algul Adolfi ka need kes 1917 Venemaal terroristliku riigipöörde korraldamise taga olid .,nsubj,"gen,prop,sg"
14906570,82,86,HiFi,,"Denoni D30M peaks käima puldiga RC-877 ja kui mitte mujalt , siis ehk Denoni müüa HiFi Club ikka aitab .",nsubj,nominal
15141157,11,15,Aasa,gen,"Siis aitas Aasa õigel ajal , õiges kohas ja õigele inimesele väike konjakipudel .",nsubj,"com,gen,sg"
15262420,93,100,hotelli,gen,ASi Tallink Grupp juhatuse esimehe Enn Pandi hinnangul aitavad kaks erineva kontseptsiooniga hotelli teineteist täiendada .,nsubj,"com,gen,sg"
15351290,12,30,rasketransportööri,gen,"Üle tuhande rasketransportööri , 70 laeva ja 30 lennukit aitasid kolida Hongkongi lennuvälja .",nsubj,"com,gen,sg"
15583606,57,66,membraani,gen,"Kui ta sul läbi laseb , siis aitaks vast 260Eek-i maksev membraani/tihendite komplekt ?",nsubj,"com,gen,sg"
15887988,57,63,proovi,gen,"Mis ma oskan sul kosta , proovi jah uuemaid draivereid , proovi mälu CAS 2 kui ei aita , siis oled stuck ...",nsubj,"com,gen,sg"
15916501,11,20,Dynaminti,gen,Ei aita ka Dynaminti « Maria » .,nsubj,"gen,prop,sg"
16249810,62,70,linnaosa,gen,Sadade muusikasõprade rõõmukisa saatel aitas Madridi Leganesi linnaosa vanem Jose Luiz Perez rokibändi liikmetel  Malcolm  ja  Angus Youngil  – kel nagu ikka oli seljas koolivorm – tänava uut nimesilti avada .,nsubj,"com,gen,sg"
16262827,176,181,ussi-,gen,"Kas ma võin kindel olla , et keegi osav pettur ei külasta homme võltspassiga notarit ning ei saa minu korteri või maja seaduslikuks omanikuks , kelle vastu ei aita seejärel ei ussi- ega püssirohi .",nsubj,"com,gen,sg"
16315072,7,16,Bestresti,gen,*aitab Bestresti yles ja jookseb dhenryle järgi*,nsubj,"gen,prop,sg"
16715193,79,88,Torupilli,gen,"Küpsetamist-kaunistamist jätkub tegelikult aasta lõpuni : sel pühapäeval aitab Torupilli Selveris piparkooke teha ja valmis piparkoogimaja detaile kokku panna pagar , järgmisel pühapäeval on tal kaubamaja kodumaailmas abiks Pipi .",nsubj,"gen,prop,sg"
16756974,46,52,tilli-,gen,"Ja kui asi on tõesti nii , siis ei aita ükski tilli- ega tollimaks .",nsubj,"com,gen,sg"
16819659,173,178,ussi-,gen,"Kas sina oskad seletada , miks mõned küsijad käsitlevad eesti keele mitteoskamist otsekui mingit fataalset paratamatust , nagu on nahavärv või sünnimärk , mille vastu ükski ussi- ega püssirohi ei aita ?",nsubj,"com,gen,sg"
17175455,43,48,ussi-,gen,"Aga kui see 'next' ei tööta , siis ei aita ussi- ega püssirohi , sest kõik on Su eest peidetud .",nsubj,"com,gen,sg"
17353959,41,53,võitlusvaimu,gen,Portugali veterani Luis Figo sõnul aitab võitlusvaimu hoida fännide ja kogu maa toetus meeskonnale .,nsubj,"com,gen,sg"
17769174,18,24,geeni-,gen,Heal juhul aitaks geeni- või nanotehnoloogia .,nsubj,"com,gen,sg"
17808902,5,10,mahvi,gen,Paar mahvi aitab .,nsubj,"com,gen,sg"
17979155,27,36,tulekahju,gen,Päästjate hinnangul aitaks tulekahju lõplikult kustutada vaid vihm .,nsubj,"com,gen,sg"
18547963,134,143,apt-cache,gen,"Proovisin otsida käskude 'apt-cache search user' ja 'apt-cache search manager' abil , aga ses't ei olnud abi ühti , veel vähem aitas 'apt-cache search user manager'",nsubj,"com,gen,sg"
18547986,134,143,apt-cache,gen,"Proovisin otsida käskude 'apt-cache search user' ja 'apt-cache search manager' abil , aga ses't ei olnud abi ühti , veel vähem aitas 'apt-cache search user manager'",nsubj,"com,gen,sg"
18854737,0,10,Arengukava,gen,Arengukava aitab,nsubj,"com,gen,sg"
20067350,6,10,ZiZi,,ZiZi: ZiZi aitab :D,nsubj,nominal
8570984,104,111,Hercule,gen,"Seni on Elmatarilt ilmunud kuus Christiet , selle aasta lõpetab keerulise süzheega “ Suur nelik ” , kus Hercule Poirot ajab mõrvarite jälgi mööda laia maailma .",nsubj,"gen,prop,sg"
13480300,0,17,Poliitikukarjääri,gen,"Poliitikukarjääri Paavo iga hinna eest taga ei aja , võib-olla hakkab valitsuse ustest ja akendest tugevamalt sisse pressima kümne aasta pärast .",nsubj,"gen,prop,sg"
13884991,2,9,Omakasu,gen,» Omakasu Hiie liidust taga ei aja .,nsubj,"com,gen,sg"
1133958,33,37,Nina,gen,"Kui Peipsi jää peale saab , ajab Nina kalur kolmerattalise imeriista kuurist välja ja põrutab järve peale .",nsubj,"com,gen,sg"
1485333,21,25,mina,gen,"Jeesus ütles : "" Kui mina Jumala väega kurjad vaimud välja ajan ,",nsubj,"com,gen,sg"
8304024,33,37,Nina,gen,"Kui Peipsi jää peale saab , ajab Nina kalur kolmerattalise imeriista kuurist välja ja põrutab järve peale .",nsubj,"com,gen,sg"
9103843,4,13,tulekahju,gen,Kui tulekahju või õnnetus varem välja ei aja .,nsubj,"com,gen,sg"
12098945,33,37,Kudu,gen,Külvetile kui kõvale mehele ajas Kudu välja toa Uue tänava vaikses pereühikas .,nsubj,"com,gen,sg"
13791203,25,38,politseinikku,adit,"Kolm jaoskonnas viibinud politseinikku ajasid ussi välja , ent too pöördus tagasi ja tuli teisest uksest ikka sisse .",nsubj,"adit,com,sg"
15684487,51,58,ebakõla,gen,"Glase sõnul ajendas muutust tegema hoopis sisuline ebakõla , kuna kord nädalas näidatav telesaade ei saa uudistesaade olla .",nsubj,"com,gen,sg"
10332001,34,43,Kaubamaja,gen,"Oktoobri alguses alandas Tallinna Kaubamaja selle aasta kasumiplaani 20,1 miljoni kroonini , millest üheksa kuuga on täidetud 51 protsenti .",nsubj,"com,gen,sg"
17707065,40,48,määrasid,,"Keskerakond näiteks alandas auto vanuse määrasid väikeste nüansiliste erinevustega , võrreldes sellega , mis on rahanduskomisjoni ettepanekus jne.",nsubj,"af,aux,impf,indic,ps,ps2,sg"
2650382,161,166,taiga,gen,"Umbes 300 kilomeetrit piki Baikalit põhja pool Barguzini mägedes , kus ametlik maantee ( kruusatee muidugi , mis asfalti siin kandis ) , peagi lõppeb ning algab taiga .",nsubj,"com,gen,sg"
7562127,70,77,Bertile,gen,"Bert on Sartre , ja mina Beauvoir , ma olen ka muidu kange mutt , aga Bertile allun iga kell .",nsubj,"gen,prop,sg"
8825722,15,22,Tannele,gen,""" Tuhkna allus Tannele , Tanne äi , Nordberg , oli aga nende mõlema boss , kes kuulu järgi kamandas kõige suuremate rahavoogude üle .",nsubj,"gen,prop,sg"
532601,35,43,Kristina,gen,"MK-sarjas kuuendale kohale tõusnud Kristina alustas Otepääl rahulikult , kaotades esialgu parimatele kuus-seitse sekundit .",nsubj,"gen,prop,sg"
536033,0,8,Kristina,gen,"Kristina alustas tavapäraselt rahulikult , 1,5 km vaheajapunkti läbis ta ajaga 4.45 seitsmendana .",nsubj,"gen,prop,sg"
541690,0,8,Kristina,gen,Kristina Shmigun alustas teravalt ja lõpetas avavahetuse kolmandana .,nsubj,"gen,prop,sg"
926847,46,55,perearsti,gen,2001.aastal alustavad Tallinnas vastuvõttu 96 perearsti .,nsubj,"com,gen,sg"
1009479,13,21,Babitski,gen,"Eile alustas Babitski näljastreiki , protesteerides advokaadi sõnul Vene võimude otsuse vastu vahistada ta võltsitud passi omamise eest .",nsubj,"gen,prop,sg"
1233643,8,17,pantvangi,gen,"Üle 150 pantvangi alustas teisipäeval oma kolmandat päeva kaaperdatud Afganistani lennukis Londoni lähedal Stanstedi lennuväljal , Briti politsei jätkas läbirääkimisi terroristidega .",nsubj,"com,gen,sg"
1459396,46,50,mina,gen,""" Seda enam , et nad olid ju nii noored , kui mina seitsmekümnendatel alustasin , "" leiab ta .",nsubj,"com,gen,sg"
1505984,65,73,Kristina,gen,""" Talve tahaks , siis on võrreldes praegusega puhkus , "" alustab Kristina monoloogi .",nsubj,"gen,prop,sg"
1590945,21,27,Funaki,gen,"Samal hetkel alustas Funaki võidutantsu , viiv hiljem jõudis juhtunu publikunigi .",nsubj,"gen,prop,sg"
1651214,4,7,EMU,gen,"Kui EMU aastatuhande paiku alustab , on Soome Brüsselis ja otsustab .",nsubj,"com,gen,sg"
1698725,0,8,Karjääri,gen,Karjääri alustas teatriprodutsendi ja televisiooni režissöörina .,nsubj,"com,gen,sg"
1808652,0,8,Kristina,gen,Kristina alustas rahulikult ja liugles pärast teist kilomeetrit üheksandana .,nsubj,"gen,prop,sg"
